"","code","focus_type","country","region","province","livestock_region","international_region","municipality","uvl","disease","n_affected_species","serotype","species","susceptible","affected","confirmation_date","outbreak_n","index","outbreak_id"
"11311","2007/2996","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Pedroso de Acim","Badajoz","Bluetongue",1,"","Ovinos","208","3",2007-11-26,1,11311,"2007/2996_1"
"11312","2007/2995","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Santiago del Campo","Badajoz","Bluetongue",1,"","Ovinos","470","10",2007-11-26,1,11312,"2007/2995_1"
"11313","2007/2994","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Santiago del Campo","Badajoz","Bluetongue",1,"","Ovinos","418","1",2007-11-26,1,11313,"2007/2994_1"
"11314","2007/2993","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Santiago del Campo","Badajoz","Bluetongue",1,"","Ovinos","675","6",2007-11-26,1,11314,"2007/2993_1"
"11315","2007/2992","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Santiago del Campo","Badajoz","Bluetongue",1,"","Ovinos","489","0",2007-11-26,1,11315,"2007/2992_1"
"11316","2007/2991","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Monroy","Badajoz","Bluetongue",1,"","Ovinos","271","3",2007-11-26,1,11316,"2007/2991_1"
"11317","2007/2990","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Monroy","Badajoz","Bluetongue",1,"","Ovinos","399","2",2007-11-26,1,11317,"2007/2990_1"
"11318","2007/2989","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Monroy","Badajoz","Bluetongue",1,"","Ovinos","360","6",2007-11-26,1,11318,"2007/2989_1"
"11319","2007/2988","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Monroy","Badajoz","Bluetongue",1,"","Ovinos","365","6",2007-11-26,1,11319,"2007/2988_1"
"11320","2007/2987","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Hinojal","Badajoz","Bluetongue",1,"","Ovinos","580","2",2007-11-26,1,11320,"2007/2987_1"
"11321","2007/2986","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Hinojal","Badajoz","Bluetongue",1,"","Ovinos","384","4",2007-11-26,1,11321,"2007/2986_1"
"11322","2007/2985","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Hinojal","Badajoz","Bluetongue",1,"","Ovinos","409","3",2007-11-26,1,11322,"2007/2985_1"
"11323","2007/2984","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Hinojal","Badajoz","Bluetongue",1,"","Ovinos","260","1",2007-11-26,1,11323,"2007/2984_1"
"11324","2007/2983","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Hinojal","Badajoz","Bluetongue",1,"","Ovinos","659","6",2007-11-26,1,11324,"2007/2983_1"
"11325","2007/2982","Secundario","España","EXTREMADURA","CÁCERES","CACERES",NA,"Hinojal","Badajoz","Bluetongue",1,"","Ovinos","205","4",2007-11-26,1,11325,"2007/2982_1"
